2.882424040118741832e-06, 3.366341018961314102e-01, -3.697893384280425133e-01, -2.269722085972112613e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-5.626215050497623132e-02, 3.556168514775496226e-01, -3.452071543515312091e-01, -1.968706294612134200e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.107324836863174955e-01, 3.527363667776772238e-01, -3.017768520595267012e-01, -1.721963001763847645e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.617477045982587958e-01, 3.382993279886258864e-01, -2.615705989457716707e-01, -1.423385030980281185e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.078854489993182120e-01, 3.162519872649831587e-01, -2.233520468811010795e-01, -1.251822798064582687e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.480156295270493638e-01, 2.931418619010581761e-01, -2.003125492095008953e-01, -1.119331496237382650e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.813042783144637515e-01, 2.719097819810752936e-01, -1.931917534778050394e-01, -1.082891955266041262e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.071795670574313242e-01, 2.532839694615274806e-01, -2.015883075612605324e-01, -1.141150274107148727e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.252785578105619746e-01, 2.358907785983896388e-01, -2.222157737193923566e-01, -1.272907096452337294e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.353918697105847668e-01, 2.177006674905683226e-01, -2.500519172462083994e-01, -1.449476708137091563e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.374189325295240405e-01, 1.977431233107644348e-01, -2.800314014526303907e-01, -1.644246780595407798e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.313410210438993975e-01, 1.774770493838471741e-01, -3.093465909019016413e-01, -1.823798157368053119e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.172157834765637063e-01, 1.603955391830993171e-01, -3.353656462332176291e-01, -1.992840314386432055e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.951936545020241165e-01, 1.516051089942536678e-01, -3.582926976461909274e-01, -2.143245949221788405e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.655543518998699781e-01, 1.553963241726045441e-01, -3.771533567048551139e-01, -2.296763652927237831e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.287581417559550467e-01, 1.747798845444250015e-01, -3.944964738673668592e-01, -2.407324223470511115e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.855020416945778461e-01, 2.076968553233607406e-01, -4.056508259829349483e-01, -2.512316749758298218e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.367657715156054554e-01, 2.501619349403671477e-01, -4.122101465890806726e-01, -2.525729898288605058e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-8.382898487632645113e-02, 2.942239764755521514e-01, -4.110992410303584421e-01, -2.425675210344002686e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-2.824307715736589300e-02, 3.299861354418474613e-01, -3.950964414780804845e-01, -2.277392027584815015e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
