-4.857915098810541149e-02,9.129043995958702196e-02,-8.503435806966593014e-02,-5.423066719091546722e-02,0.000000000000000000e+00
-4.872751277137983561e-02,9.095224585786924887e-02,-8.454790316214108592e-02,-5.414295094556594024e-02,0.000000000000000000e+00
-4.887618404410941364e-02,9.061566420196992544e-02,-8.406469818465125976e-02,-5.405475191771959981e-02,0.000000000000000000e+00
-4.902516217549486577e-02,9.028064584661377179e-02,-8.358467914727812920e-02,-5.396606588015115391e-02,0.000000000000000000e+00
-4.917444447962435877e-02,8.994714251785926318e-02,-8.310778349965192158e-02,-5.387688836777498880e-02,0.000000000000000000e+00
-4.932402821496423284e-02,8.961510678995775192e-02,-8.263395009217935905e-02,-5.378721468523511157e-02,0.000000000000000000e+00
-4.947391058384962431e-02,8.928449206303179508e-02,-8.216311913860228910e-02,-5.369703991420397837e-02,0.000000000000000000e+00
-4.962408873197677456e-02,8.895525254153882622e-02,-8.169523217982949115e-02,-5.360635892040210154e-02,0.000000000000000000e+00
-4.977455974789618542e-02,8.862734321349594047e-02,-8.123023204899652849e-02,-5.351516636035709429e-02,0.000000000000000000e+00
-4.992532066250679468e-02,8.830071983043043249e-02,-8.076806283769970285e-02,-5.342345668791106256e-02,0.000000000000000000e+00
-5.007636844855208741e-02,8.797533888803832358e-02,-8.030866986336403224e-02,-5.333122416049417697e-02,0.000000000000000000e+00
-5.022770002011766460e-02,8.765115760751664153e-02,-7.985199963769613885e-02,-5.323846284517316785e-02,0.000000000000000000e+00
-5.037931223213048398e-02,8.732813391755056553e-02,-7.939799983618339718e-02,-5.314516662448900280e-02,0.000000000000000000e+00
-5.053120187986006456e-02,8.700622643693020630e-02,-7.894661926859709855e-02,-5.305132920209380126e-02,0.000000000000000000e+00
-5.068336569842207123e-02,8.668539445777317942e-02,-7.849780785046248099e-02,-5.295694410819815762e-02,0.000000000000000000e+00
-5.083580036228411286e-02,8.636559792933436175e-02,-7.805151657545737753e-02,-5.286200470483926744e-02,0.000000000000000000e+00
-5.098850248477364983e-02,8.604679744237875294e-02,-7.760769748870555151e-02,-5.276650419097921735e-02,0.000000000000000000e+00
-5.114146861758962076e-02,8.572895421410089978e-02,-7.716630366092981641e-02,-5.267043560744331943e-02,0.000000000000000000e+00
-5.129469525031593591e-02,8.541203007356835963e-02,-7.672728916343206362e-02,-5.257379184170593578e-02,0.000000000000000000e+00
-5.144817880993824560e-02,8.509598744767533918e-02,-7.629060904387230391e-02,-5.247656563253515205e-02,0.000000000000000000e+00
-5.160191566036479577e-02,8.478078934758472018e-02,-7.585621930281190306e-02,-5.237874957450094904e-02,0.000000000000000000e+00
-5.175590210194986468e-02,8.446639935564453916e-02,-7.542407687099725311e-02,-5.228033612235710031e-02,0.000000000000000000e+00
-5.191013437102112021e-02,8.415278161276136537e-02,-7.499413958735302865e-02,-5.218131759530274250e-02,0.000000000000000000e+00
-5.206460863941136941e-02,8.383990080621595009e-02,-7.456636617766111697e-02,-5.208168618113140358e-02,0.000000000000000000e+00
-5.221932101399358317e-02,8.352772215790557619e-02,-7.414071623389835441e-02,-5.198143394027399805e-02,0.000000000000000000e+00
-5.237426753622157621e-02,8.321621141299986868e-02,-7.371715019421000437e-02,-5.188055280974203376e-02,0.000000000000000000e+00
-5.252944418167337925e-02,8.290533482899471729e-02,-7.329562932349548143e-02,-5.177903460697724780e-02,0.000000000000000000e+00
-5.268484685960125868e-02,8.259505916515261226e-02,-7.287611569458320171e-02,-5.167687103361388173e-02,0.000000000000000000e+00
-5.284047141248569834e-02,8.228535167231566805e-02,-7.245857216997404759e-02,-5.157405367915813416e-02,0.000000000000000000e+00
-5.299631361559484222e-02,8.197618008308021897e-02,-7.204296238413313014e-02,-5.147057402459179892e-02,0.000000000000000000e+00
-5.315236917654950904e-02,8.166751260231962239e-02,-7.162925072630851875e-02,-5.136642344590353071e-02,0.000000000000000000e+00
-5.330863373489383439e-02,8.135931789804551340e-02,-7.121740232385974367e-02,-5.126159321755403842e-02,0.000000000000000000e+00
-5.346510286167202586e-02,8.105156509259560382e-02,-7.080738302607647583e-02,-5.115607451587842608e-02,0.000000000000000000e+00
-5.362177205901129395e-02,8.074422375413795039e-02,-7.039915938847049470e-02,-5.104985842243212057e-02,0.000000000000000000e+00
-5.377863675971074342e-02,8.043726388848068676e-02,-6.999269865752316688e-02,-5.094293592728197512e-02,0.000000000000000000e+00
-5.393569232683792514e-02,8.013065593117964236e-02,-6.958796875587429376e-02,-5.083529793225017440e-02,0.000000000000000000e+00
-5.409293405333162608e-02,7.982437073993120524e-02,-6.918493826793267742e-02,-5.072693525411076099e-02,0.000000000000000000e+00
-5.425035716161209082e-02,7.951837958724419786e-02,-6.878357642589791321e-02,-5.061783862774649201e-02,0.000000000000000000e+00
-5.440795680319872318e-02,7.921265415338013538e-02,-6.838385309617567298e-02,-5.050799870926657442e-02,0.000000000000000000e+00
-5.456572805833552475e-02,7.890716651955415051e-02,-6.798573876617351741e-02,-5.039740607909054537e-02,0.000000000000000000e+00
-5.472366593562472820e-02,7.860188916138864668e-02,-6.758920453146383123e-02,-5.028605124500083734e-02,0.000000000000000000e+00
-5.488176537166838953e-02,7.829679494261086725e-02,-6.719422208330112778e-02,-5.017392464516749057e-02,0.000000000000000000e+00
-5.504002123071902869e-02,7.799185710898663693e-02,-6.680076369647992840e-02,-5.006101665114709443e-02,0.000000000000000000e+00
-5.519842830433832614e-02,7.768704928248489072e-02,-6.640880221752284984e-02,-4.994731757086055129e-02,0.000000000000000000e+00
-5.535698131106598502e-02,7.738234545566298472e-02,-6.601831105318665960e-02,-4.983281765155107845e-02,0.000000000000000000e+00
-5.551567489609724598e-02,7.707771998626727905e-02,-6.562926415927332335e-02,-4.971750708272514724e-02,0.000000000000000000e+00
-5.567450363097028315e-02,7.677314759204297012e-02,-6.524163602973902243e-02,-4.960137599907948197e-02,0.000000000000000000e+00
-5.583346201326363362e-02,7.646860334574440143e-02,-6.485540168608609768e-02,-4.948441448341601989e-02,0.000000000000000000e+00
-5.599254446630402837e-02,7.616406267034225852e-02,-6.447053666703177199e-02,-4.936661256954755217e-02,0.000000000000000000e+00
-5.615174533888457609e-02,7.585950133441872467e-02,-6.408701701844135568e-02,-4.924796024519527415e-02,0.000000000000000000e+00
-5.631105890499406297e-02,7.555489544774751653e-02,-6.370481928351814926e-02,-4.912844745488211678e-02,0.000000000000000000e+00
-5.647047936355720221e-02,7.525022145705033416e-02,-6.332392049323966321e-02,-4.900806410282156078e-02,0.000000000000000000e+00
-5.663000083818630487e-02,7.494545614192581195e-02,-6.294429815703178610e-02,-4.888680005580553489e-02,0.000000000000000000e+00
-5.678961737694529499e-02,7.464057661094507246e-02,-6.256593025367389316e-02,-4.876464514609295947e-02,0.000000000000000000e+00
-5.694932295212495194e-02,7.433556029790802655e-02,-6.218879522242400093e-02,-4.864158917429956680e-02,0.000000000000000000e+00
